mainFloorLengthInFt,mainFloorBreadthInFt,ceilingHeightInFt,numberOfFloors,numberOfKitchens,numberOfStandaloneToilets,numberOfFullBathrooms,numberOfRooms,priceOfBagOfCement,priceOfTripOfSand,priceOfWaterInLiters,priceOfDoorD1,priceOfDoorD2,priceOfDoorD3,priceOfWindowW1,priceOfWindowW2,priceOfTilesPerM2,priceOfGraniteInTonnes,priceOfSteelPerM3,priceOfCostOfRoofHalfPlot,estimatedBlocksNeeded,estimatedCementBagsNeeded,estimatedConcreteNeeded,estimatedCost,estimatedCostOfRoofing,estimatedNumDoors,estimatedNumDoorsD1,estimatedNumDoorsD2,estimatedNumDoorsD3,estimatedNumWindows,estimatedNumWindowsW1,estimatedNumWindowsW2,estimatedPricePerConcreteInM3,estimatedSandInTonnesNeeded,estimatedVolumeOfSlabNeeded,estimatedTripsOfSandsNeeded,estimatedSteelNeeded
314.25,152.82,15.44,9.42,4.36,2.87,4.94,6.53,6657.90,49452.97,7.97,28372.30,12513.15,7812.66,38321.38,39417.28,7046.43,20637.66,597842.26,1133772.31,1380989.12,57225.05,2519.53,772023587.66,3499384.27,38.99,10.42,20.75,7.82,108.20,100.38,7.82,86638.94,34138.25,453.52,5506.17,25.20
412.48,313.37,15.52,1.78,9.38,5.76,1.52,7.22,4120.99,44750.96,7.14,24131.27,18569.41,11496.52,58834.56,36791.31,7283.77,23873.58,635870.55,885299.04,345116.91,25050.59,2165.32,328877788.61,4482898.41,38.87,2.78,28.81,7.28,187.59,180.31,7.28,72657.18,10203.69,1220.68,1645.76,21.65
404.68,516.37,15.57,5.38,6.00,3.51,7.71,8.64,8591.52,50632.21,9.89,17293.68,16387.17,10728.72,47361.80,32988.37,7277.52,17365.38,389067.76,1502546.40,1578760.24,80546.85,5041.29,1274915342.13,9674026.03,53.42,6.38,35.82,11.22,280.90,269.68,11.22,95887.86,41380.45,1973.43,6674.27,50.41
67.65,451.16,10.26,1.68,1.19,8.71,4.18,0.96,5383.43,29423.33,8.67,21503.43,18174.67,6262.39,36109.33,30444.71,5652.88,23278.04,761358.11,1728884.14,82758.96,6534.37,594.56,92220993.00,4254020.90,25.74,2.68,10.17,12.89,32.09,19.20,12.89,78161.97,2528.87,288.22,407.88,5.95
430.31,485.70,9.70,9.71,7.04,3.64,1.43,6.48,8738.96,37890.61,8.99,27402.41,19155.33,11919.93,45429.53,38659.39,5924.27,24523.92,260242.53,929905.32,2479739.51,114663.56,6225.39,1719448393.17,5987689.12,48.35,10.71,32.57,5.07,212.99,207.92,5.07,105006.56,63152.19,1973.80,10185.84,62.25
405.62,328.86,14.32,5.05,0.47,8.18,7.44,3.73,6815.20,48672.07,9.20,15652.61,16072.21,8946.96,58017.44,31708.60,5918.32,20130.99,710855.59,1620754.19,717690.64,39915.38,2763.08,596487985.19,8337294.03,45.53,6.05,23.86,15.62,119.02,103.40,15.62,87046.24,19324.50,1259.73,3116.85,27.63
248.48,220.12,9.66,1.50,6.98,0.40,2.40,9.59,4454.00,49770.26,5.89,28877.65,21070.15,9116.48,67067.40,30916.22,7448.73,18131.33,638612.81,1317198.45,163282.22,12762.11,1154.48,159755519.82,4338776.40,31.38,2.50,26.08,2.79,154.67,151.88,2.79,67293.55,4969.18,516.53,801.48,11.54
67.95,497.81,11.75,5.26,3.32,7.11,0.01,7.00,5742.20,30486.10,6.88,22007.70,12946.35,7238.46,66023.37,46103.80,5804.96,21079.57,451665.91,1605252.27,530110.80,25816.42,1517.13,286785782.28,4158204.99,33.09,6.26,19.70,7.12,96.80,89.68,7.12,77379.82,13703.34,319.44,2210.22,15.17
459.04,163.65,10.15,7.85,2.02,8.25,3.41,4.34,6535.46,37342.84,8.27,29548.27,18904.15,10617.80,61802.76,44193.66,6871.57,24632.88,419609.92,1262103.01,958485.23,45426.35,2564.25,593613537.70,4872145.95,40.72,8.85,20.21,11.66,99.66,88.00,11.66,89536.26,24582.04,709.44,3964.84,25.64
395.20,453.89,14.97,5.79,4.60,8.70,1.31,2.48,5138.47,41723.90,9.25,20565.52,20920.32,11225.60,37763.65,39050.57,5517.27,20419.03,554950.77,867899.34,897326.55,49708.43,3426.44,629566547.41,5177214.01,41.69,6.79,24.90,10.01,96.81,86.80,10.01,74516.88,24130.61,1694.01,3892.03,34.26
138.17,168.84,9.14,5.63,5.70,5.95,5.84,9.21,5425.00,49759.24,5.24,15373.54,11436.57,11237.25,61107.17,48010.12,6842.86,16527.04,359820.05,1226064.81,457315.70,22436.22,1332.36,265449730.35,2637557.70,39.89,6.63,21.46,11.80,107.40,95.60,11.80,71646.27,11847.25,220.31,1910.85,13.32
264.64,504.08,12.93,4.26,3.51,0.85,7.73,8.47,5184.95,52478.44,7.08,19802.67,19776.90,11214.37,63480.01,37888.10,6230.42,23421.03,661806.79,854475.27,838964.01,46703.06,3236.11,617920531.81,4395612.32,44.81,5.26,30.97,8.58,220.28,211.70,8.58,80792.25,22596.57,1259.80,3644.61,32.36
127.11,477.73,11.03,6.41,0.80,2.34,8.31,4.10,7348.87,39773.68,8.07,23338.81,21771.49,8986.20,62733.70,35519.43,5848.67,19170.26,515757.99,1342185.60,658903.01,32609.40,1960.12,447705852.11,4658406.67,36.53,7.41,18.48,10.65,86.17,75.52,10.65,87646.04,17113.63,573.47,2760.26,19.60
123.39,339.45,9.48,4.02,5.54,7.24,5.04,6.47,7474.18,54430.12,8.43,23070.70,17643.16,11602.49,60376.86,26428.07,6423.63,24959.27,552618.80,1484867.61,340753.21,19275.66,1358.20,305013183.81,4280146.95,37.24,5.02,19.93,12.28,105.25,92.96,12.28,99609.75,9225.54,395.55,1487.99,13.58
450.90,239.39,11.69,6.82,6.88,2.21,1.81,5.11,5961.12,42469.14,8.46,17367.40,17552.05,9029.13,46197.15,27980.79,5626.09,16392.11,420122.32,1109652.77,1017306.65,50432.75,3038.57,618271025.95,5134783.25,35.94,7.82,24.09,4.02,125.37,121.35,4.02,74405.65,26435.77,1019.37,4263.83,30.39
344.76,473.02,12.89,2.16,4.41,8.51,1.25,2.18,6610.31,40866.25,7.03,28916.18,19676.76,10280.87,50436.77,28063.46,6949.90,21703.27,551951.06,1096488.62,252053.90,23258.83,2290.47,395769286.12,6236591.05,36.38,3.16,23.46,9.76,84.87,75.10,9.76,86213.49,8224.35,1540.10,1326.51,22.90
348.41,343.52,9.52,2.38,6.52,3.95,0.30,4.86,7913.98,52368.35,6.89,25629.19,16148.59,6211.30,44324.18,38295.63,6689.62,23734.07,445939.39,966958.47,251187.84,21181.38,1997.24,375490391.74,4711636.94,32.22,3.38,24.59,4.25,126.73,122.47,4.25,100304.69,7885.33,1130.29,1271.83,19.97
178.98,441.12,13.10,9.42,8.22,4.92,2.54,8.24,5580.71,46580.27,6.65,17918.12,18118.63,11300.02,61146.09,26011.43,6877.86,20998.86,516761.30,1224109.29,1917998.04,81522.43,3791.40,987764503.88,4844486.87,44.30,10.42,26.41,7.46,166.26,158.80,7.46,78923.08,47731.33,745.62,7698.60,37.91
298.91,475.87,10.15,1.41,6.78,8.03,2.25,8.80,7275.79,45629.52,9.18,19195.82,20166.36,6854.77,57506.38,35228.19,6057.79,24451.77,717026.62,1766619.41,253121.01,23445.15,2312.72,388109307.84,9384271.78,44.75,2.41,32.05,10.28,236.47,226.18,10.28,96046.41,8272.83,1343.32,1334.33,23.13
154.87,363.31,10.50,7.95,6.08,9.53,0.55,8.60,4328.25,50632.39,5.99,16856.23,18075.20,11327.49,42886.73,28908.60,7318.63,24197.65,703827.46,1625119.20,1174509.02,52988.46,2759.89,618668175.96,5429324.89,43.79,8.95,24.76,10.08,149.40,139.32,10.08,75442.59,29706.02,531.35,4791.29,27.60
508.83,122.24,10.85,9.10,2.54,7.64,4.16,3.24,4588.72,36375.16,6.82,25658.38,20212.01,9567.67,51135.61,49164.46,7097.26,24975.20,665645.50,1551096.88,1068206.48,47679.18,2436.75,524290302.77,5448386.49,39.23,10.10,17.33,11.80,74.76,62.96,11.80,76022.64,26937.52,587.38,4344.76,24.37
513.35,447.57,13.98,2.63,5.67,5.97,0.35,4.10,4683.90,52814.02,7.08,18469.39,11499.16,7070.92,35175.18,49053.10,6879.01,20091.73,271148.58,1469993.09,452902.58,36613.71,3375.79,529084234.67,9924184.88,40.06,3.63,30.11,6.32,153.03,146.71,6.32,72479.16,13972.22,2169.81,2253.58,33.76
127.81,334.12,14.88,8.69,6.22,2.14,9.66,3.57,5095.71,39439.84,5.60,17990.82,13010.55,6385.35,46143.37,38854.51,5968.73,19104.56,746439.76,1028892.91,911793.08,39131.54,1856.21,433807276.85,2994713.49,37.16,9.69,15.68,11.80,68.18,56.38,11.80,71348.86,22749.51,403.30,3669.28,18.56
60.79,40.28,11.87,8.86,6.16,6.87,5.97,6.42,5770.75,33754.78,5.84,21753.34,17080.90,8892.30,47310.47,26531.78,5669.31,23503.75,518755.09,1151817.01,257305.26,10700.02,474.85,117272629.95,802773.43,35.34,9.86,12.64,12.84,35.18,22.34,12.84,81539.76,6366.52,23.12,1026.86,4.75
313.24,207.59,15.74,3.38,4.28,9.48,0.66,0.48,8625.30,52572.39,8.49,20760.07,15661.53,7033.05,54725.25,30959.42,7267.30,19642.93,763137.85,926427.47,234506.20,14847.45,1160.71,273824573.37,3327308.38,27.99,4.38,13.47,10.14,30.58,20.44,10.14,99582.90,6595.12,614.08,1063.73,11.61
129.06,210.62,13.88,1.56,3.66,5.21,0.26,1.12,8918.99,50510.17,5.39,25399.25,12596.23,8569.11,69695.06,26209.79,7377.45,24932.24,738414.83,1607227.66,68932.67,5282.17,472.30,106475239.41,3732247.99,17.95,2.56,9.92,5.47,25.21,19.74,5.47,108539.95,2081.40,256.71,335.71,4.72
145.20,205.32,14.29,7.50,2.03,5.34,1.50,7.45,6767.38,52744.41,5.40,16498.38,16668.99,11910.33,53629.56,33048.74,5561.29,21558.55,358646.06,1224456.08,784993.68,34068.86,1652.24,469635228.57,2977772.48,35.15,8.50,19.80,6.84,95.83,88.99,6.84,88943.28,19644.82,281.55,3168.52,16.52
106.36,39.31,10.23,3.55,8.48,1.30,6.49,8.34,5649.65,32673.77,9.49,27031.82,20068.58,6336.18,51844.72,28140.15,6677.95,16051.07,365340.92,1618323.55,108330.16,5613.80,358.33,59960380.16,1473904.55,28.10,4.55,15.74,7.80,44.74,36.94,7.80,70161.16,2852.93,39.49,460.15,3.58
40.15,305.47,14.98,2.77,7.43,7.15,2.52,3.32,4435.34,53515.01,9.20,18758.50,15330.02,7464.55,54720.60,25745.98,5825.23,19000.71,451111.11,1706091.48,138323.55,7270.10,472.12,87912150.15,2661026.29,23.95,3.77,10.51,9.66,38.17,28.50,9.66,69587.40,3658.69,115.81,590.11,4.72
208.84,413.60,9.57,5.04,3.47,1.58,2.34,9.42,7370.14,31586.10,7.09,29475.38,20582.27,9040.45,45299.21,28583.10,6801.07,21987.73,297107.40,1140534.84,764250.00,41069.70,2737.31,538965397.09,4721069.87,38.79,6.04,28.83,3.93,191.70,187.77,3.93,90326.90,20354.89,815.69,3283.05,27.37
513.67,171.93,13.11,1.82,4.81,6.52,8.93,1.38,4843.37,37598.36,8.62,26694.79,21766.46,7584.52,35753.99,40184.87,6455.31,24719.62,589291.74,1614766.15,163169.47,14057.00,1339.93,213549143.21,6758716.90,35.19,2.82,16.92,15.45,55.87,40.42,15.45,77915.85,5168.56,834.01,833.64,13.40
105.73,292.43,10.85,9.32,4.08,9.81,5.85,8.18,5110.02,40973.06,5.98,28061.34,17153.74,10447.41,36939.80,31299.71,5712.22,20441.13,590629.64,1576365.41,1122673.40,47658.08,2210.68,522773630.32,3903953.52,47.04,10.32,21.06,15.66,114.36,98.69,15.66,73728.25,27929.54,291.98,4504.76,22.11
308.06,44.47,13.09,3.29,4.40,3.01,2.15,7.28,8831.48,53507.86,6.05,22493.84,11950.07,11798.19,41012.86,46881.05,7298.85,20956.81,633612.96,978066.18,208243.94,10670.36,671.53,174353117.44,1612450.10,26.22,4.29,16.77,5.16,64.25,59.09,5.16,102744.00,5465.37,129.39,881.51,6.72
170.31,414.68,9.53,4.16,6.20,0.16,1.23,2.52,7493.30,51001.21,6.48,17318.73,19859.47,6202.99,44323.01,38044.13,7058.67,17988.61,259284.92,1054954.05,294512.46,18821.13,1482.63,298088791.68,3948661.54,23.63,5.16,17.07,1.40,56.53,55.13,1.40,88664.62,8309.84,666.95,1340.30,14.83
317.94,335.24,10.57,2.46,9.07,9.45,6.72,0.06,8619.09,34241.35,9.75,28378.83,12737.08,6545.96,47174.47,25266.27,7363.93,18592.98,294035.72,988577.58,163725.40,15483.66,1541.46,289222190.89,4545745.69,36.04,3.46,16.42,16.16,33.73,17.57,16.16,94975.22,5400.67,1006.59,871.08,15.41
267.70,146.96,14.85,8.16,1.33,6.63,3.42,4.45,5406.43,52368.90,9.64,19094.38,17910.91,11201.65,47547.19,42444.42,7168.89,18325.10,300799.31,845411.45,819226.31,35525.31,1720.12,441649056.91,2361712.92,35.81,9.16,16.59,10.05,75.15,65.10,10.05,75261.74,20496.95,371.52,3305.96,17.20
435.29,400.87,13.07,2.16,1.60,8.34,4.40,5.68,8467.23,49564.74,8.86,27753.37,21528.75,7204.00,42854.42,34752.08,7269.37,24526.14,483246.57,1535187.08,370209.29,29753.09,2734.35,551287085.55,9032260.70,45.31,3.16,29.41,12.75,181.94,169.20,12.75,105137.89,11393.79,1647.91,1837.71,27.34
388.35,241.88,11.34,2.57,5.84,7.55,8.90,6.92,6262.21,31656.26,9.31,28733.13,18209.13,11129.80,45824.89,44136.05,6816.61,17140.78,461391.03,1262207.76,341358.15,23287.49,1928.84,300433369.47,5448517.41,45.73,3.57,25.71,16.45,164.42,147.97,16.45,75835.62,9860.72,887.07,1590.44,19.29
208.12,220.17,11.93,3.03,6.48,5.25,0.72,3.20,8680.72,32481.55,5.82,21722.36,15135.56,7813.13,38399.22,27802.72,6050.88,18687.95,379722.68,1180377.61,197133.42,12577.75,989.51,195148856.60,3558735.53,25.51,4.03,15.51,5.97,59.53,53.56,5.97,94646.94,5559.08,432.73,896.63,9.90
501.29,183.75,14.08,1.74,0.18,4.89,2.04,5.58,6985.79,35160.28,6.08,22944.91,12531.59,8844.71,43080.06,36218.27,7490.13,20150.50,581293.18,1773661.58,231073.12,17469.79,1549.39,271261195.54,7581859.61,33.21,2.74,23.54,6.92,127.90,120.97,6.92,85428.02,6940.34,869.91,1119.41,15.49
189.41,465.12,11.77,6.03,3.32,3.52,1.49,1.46,8171.97,32765.34,7.79,17009.51,20399.08,11810.79,51260.10,29889.56,5500.93,21320.83,751694.29,1473652.05,554496.99,29923.93,2004.05,450435926.87,6160534.40,29.07,7.03,17.03,5.01,46.94,41.93,5.01,95276.60,14787.98,831.97,2385.16,20.04
499.94,409.26,11.55,5.36,4.99,3.59,4.74,5.80,7704.38,42658.10,6.34,29477.64,12548.38,8087.10,69408.31,30021.95,7327.10,21416.37,624802.98,1052201.20,1072058.03,61137.28,4343.56,944099489.16,6703451.93,46.01,6.36,31.31,8.34,194.81,186.48,8.34,93664.01,29101.59,1932.24,4693.81,43.44
65.77,151.91,13.11,8.29,9.46,7.83,3.10,7.29,4227.52,50070.64,7.28,28660.69,16560.12,10591.46,48582.92,31823.39,7250.17,20381.70,279096.83,1195934.54,531601.73,22340.79,1014.51,241078935.22,1683706.95,36.15,9.29,15.93,10.94,61.46,50.52,10.94,69256.74,13189.88,94.36,2127.40,10.15
232.74,469.06,13.55,4.51,1.46,8.13,0.44,3.32,8403.46,28386.02,8.53,22037.82,19074.87,7840.49,43424.06,32824.23,6569.15,19477.64,422415.31,1764693.19,517996.61,30247.96,2199.82,457590773.43,8212278.66,35.58,5.51,21.50,8.57,93.60,85.03,8.57,93546.31,14171.39,1030.98,2285.71,22.00
505.22,103.85,15.79,7.55,9.70,4.75,4.11,4.38,5834.04,42261.58,8.64,15015.15,15364.83,9472.48,39694.64,46853.94,6247.89,22713.24,670144.10,1582523.26,992551.27,43501.67,2149.79,540990783.98,5105344.20,35.43,8.55,18.02,8.86,82.97,74.10,8.86,82740.96,24905.12,495.46,4016.96,21.50
287.66,197.13,15.18,8.68,0.28,4.39,0.60,4.38,4215.64,32982.41,7.58,24067.29,18754.29,8845.02,63732.83,48689.51,6446.67,18295.04,561282.45,954562.21,995287.94,43251.11,2102.79,415026552.61,3201526.73,33.14,9.68,18.47,4.99,82.02,77.02,4.99,63169.47,24916.15,535.51,4018.73,21.03
433.48,327.69,11.39,9.46,3.12,5.75,3.82,1.10,4644.85,42571.91,6.07,29028.26,21424.97,7016.21,65138.72,38175.26,6860.66,21606.88,699485.28,1042480.28,1248856.64,59732.92,3418.91,724067886.14,5533847.03,40.52,10.46,20.49,9.57,54.22,44.65,9.57,72469.16,32113.87,1341.47,5179.66,34.19
467.12,420.45,14.82,6.22,0.11,4.82,0.22,7.70,4207.89,51277.20,5.13,15050.60,17603.27,11259.40,56485.28,29273.66,7141.29,21294.15,505092.46,823511.23,1550942.83,77740.40,4754.29,922466496.46,5140230.90,45.97,7.22,33.70,5.05,240.37,235.33,5.05,70341.58,40435.52,1854.77,6521.86,47.54
340.71,387.09,13.50,8.09,4.06,1.74,7.65,2.16,6011.10,48388.12,5.09,24697.75,12550.67,9832.40,41355.79,42476.79,7321.20,16381.33,538927.64,1282205.05,1132057.51,54757.51,3186.46,739572413.53,6558459.10,39.87,9.09,21.40,9.39,76.58,67.19,9.39,75273.98,29205.49,1245.52,4710.56,31.86
226.81,248.49,10.73,9.08,0.06,9.21,3.00,6.42,7937.57,46270.05,6.95,26782.71,14995.38,7605.95,39106.34,30524.60,6050.32,17956.04,293591.49,1203291.92,1164813.64,51304.00,2558.95,728511350.33,4023505.70,43.78,10.08,21.49,12.21,119.27,107.06,12.21,90967.07,29266.80,532.27,4720.45,25.59
194.11,272.86,11.72,8.58,2.84,2.53,9.18,1.64,7285.07,34640.03,5.23,25637.16,14477.10,8399.33,52721.80,38001.78,6239.27,22772.35,259951.38,1083357.49,706807.87,32438.12,1739.47,432145647.12,3511654.06,35.26,9.58,13.96,11.71,46.77,35.06,11.71,91135.42,17962.38,500.20,2897.16,17.39
255.84,117.52,13.87,2.10,0.03,5.00,2.39,6.28,7618.48,32136.55,8.99,22872.81,11198.74,6015.23,63603.65,46558.05,6234.71,17595.64,431408.73,1311342.11,160951.31,9831.95,745.43,136617725.94,3202533.27,28.59,3.10,18.09,7.39,84.11,76.72,7.39,86029.92,4470.73,283.93,721.09,7.45
169.79,486.79,11.71,1.91,0.65,6.83,4.73,2.41,8066.80,46736.43,8.37,18292.81,20374.12,6416.61,56117.11,34133.18,7144.09,23059.41,315903.14,1065576.32,161292.28,13783.53,1308.55,252009907.27,4314722.98,32.47,2.91,17.99,11.56,69.30,57.73,11.56,99622.09,5091.72,780.55,821.24,13.09
251.35,320.35,10.90,1.89,0.48,5.37,3.96,9.96,4352.89,53748.16,8.24,18130.97,17324.37,11707.68,52454.41,44530.61,6742.23,19032.52,674969.92,1611394.21,268861.97,19439.19,1675.97,245193919.96,6440110.72,41.34,2.89,29.12,9.33,200.08,190.75,9.33,68952.75,7937.26,760.41,1280.20,16.76
35.75,333.10,9.16,2.88,4.80,4.95,6.59,8.25,4106.73,31454.77,9.30,25668.25,11739.74,10948.90,46441.87,40628.27,5838.82,20963.63,645654.22,1328630.54,156894.21,8925.77,632.59,88426785.30,2042065.05,33.26,3.88,17.83,11.54,73.26,61.72,11.54,66294.63,4255.62,112.46,686.39,6.33
199.63,336.19,15.84,5.88,8.68,5.63,0.42,9.12,5494.38,45061.20,6.04,18165.61,18615.04,10811.16,57584.27,31674.95,5981.62,23133.79,602011.28,1457483.57,1025383.41,47201.43,2543.87,578105192.65,5317937.98,39.56,6.88,26.64,6.05,166.69,160.64,6.05,81079.19,26080.66,633.78,4206.56,25.44
